system:index,GEM_plot_code,long,LAI,plot_name,region_name,site,.geo,date
2_2012_01_21_166,BOB-01,-1.338918,2.6,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-01-21
2_2012_02_02_166,BOB-01,-1.338918,3.4000000000000004,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-02-02
2_2012_02_22_164,ANK-01,-2.65,3.8000000000000003,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2012-02-22
2_2012_02_22_165,ANK-03,-2.65,2.5,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-02-22
2_2012_02_22_166,BOB-01,-1.338918,2.9000000000000004,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-02-22
2_2012_02_26_165,ANK-03,-2.65,5,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-02-26
2_2012_03_09_164,ANK-01,-2.65,4.7,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2012-03-09
2_2012_03_29_165,ANK-03,-2.65,4.800000000000001,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-03-29
2_2012_06_17_166,BOB-01,-1.338918,4.1000000000000005,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-06-17
2_2012_09_13_165,ANK-03,-2.65,4.3,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-09-13
2_2012_09_29_165,ANK-03,-2.65,2.8000000000000003,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-09-29
2_2012_10_07_166,BOB-01,-1.338918,3.7,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-10-07
2_2012_10_31_166,BOB-01,-1.338918,5.6000000000000005,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-10-31
2_2012_11_04_166,BOB-01,-1.338918,3.6,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-11-04
2_2012_11_12_165,ANK-03,-2.65,4.9,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-11-12
2_2012_11_28_164,ANK-01,-2.65,4,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2012-11-28
2_2012_11_28_165,ANK-03,-2.65,3,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-11-28
2_2012_11_28_166,BOB-01,-1.338918,4.4,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-11-28
2_2012_12_22_166,BOB-01,-1.338918,2.8000000000000003,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-12-22
2_2012_12_26_165,ANK-03,-2.65,3,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2012-12-26
2_2012_12_26_166,BOB-01,-1.338918,4.6000000000000005,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-12-26
2_2012_12_30_166,BOB-01,-1.338918,4.7,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2012-12-30
2_2013_01_01_166,BOB-01,-1.338918,4.1000000000000005,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2013-01-01
2_2013_01_05_166,BOB-01,-1.338918,4,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2013-01-05
2_2013_01_09_165,ANK-03,-2.65,1.1,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2013-01-09
2_2013_01_09_166,BOB-01,-1.338918,2.1,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2013-01-09
2_2013_01_13_164,ANK-01,-2.65,4.9,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2013-01-13
