plot_code,day,month,year,subplot,LAI
BOB-01,17,12,2014,NA,3.78
BOB-01,17,12,2014,NA,4.08
BOB-01,17,12,2014,NA,4.67
BOB-01,17,12,2014,NA,4.34
BOB-01,17,12,2014,NA,4.45
BOB-01,17,12,2014,NA,4.62
BOB-01,17,12,2014,NA,5.39
BOB-01,17,12,2014,NA,4.1
BOB-01,17,12,2014,NA,4.4
BOB-01,17,12,2014,NA,4.58
BOB-01,29,1,2015,TRUE,3.99
BOB-01,29,1,2015,NA,3.62
BOB-01,29,1,2015,NA,3.19
BOB-01,29,1,2015,NA,4.13
BOB-01,29,1,2015,NA,3.97
BOB-01,29,1,2015,NA,3.86
BOB-01,29,1,2015,NA,3.83
BOB-01,29,1,2015,NA,3.48
BOB-01,29,1,2015,NA,3.61
BOB-01,29,1,2015,NA,3.5
BOB-01,29,1,2015,NA,4.14
BOB-01,29,1,2015,NA,4.2
BOB-01,29,1,2015,NA,4.08
BOB-01,29,1,2015,NA,4.06
BOB-01,29,1,2015,NA,3.87
BOB-01,29,1,2015,NA,3.93
BOB-01,29,1,2015,NA,3.13
BOB-01,29,1,2015,NA,4.1
BOB-01,29,1,2015,NA,3.66
BOB-01,29,1,2015,NA,4.16
BOB-01,29,1,2015,NA,4.02
BOB-01,29,1,2015,NA,3.87
BOB-01,29,1,2015,NA,4.4
BOB-01,29,1,2015,NA,3.97
BOB-01,29,1,2015,NA,3.83
BOB-01,29,1,2015,NA,3.7
BOB-01,25,2,2015,TRUE,3.68
BOB-01,25,2,2015,NA,3.9
BOB-01,25,2,2015,NA,3.64
BOB-01,25,2,2015,NA,4.3
BOB-01,25,2,2015,NA,4.18
BOB-01,25,2,2015,NA,3.58
BOB-01,25,2,2015,NA,3.65
BOB-01,25,2,2015,NA,3.44
BOB-01,25,2,2015,NA,3.22
BOB-01,25,2,2015,NA,3
BOB-01,25,2,2015,NA,4.09
BOB-01,25,2,2015,NA,4.01
BOB-01,25,2,2015,NA,3.61
BOB-01,25,2,2015,NA,3.91
BOB-01,25,2,2015,NA,3.88
BOB-01,25,2,2015,NA,3.59
BOB-01,25,2,2015,NA,3.35
BOB-01,25,2,2015,NA,3.97
BOB-01,25,2,2015,NA,3.82
BOB-01,25,2,2015,NA,3.61
BOB-01,25,2,2015,NA,3.24
BOB-01,25,2,2015,NA,3.68
BOB-01,25,2,2015,NA,4.42
BOB-01,25,2,2015,NA,3.72
BOB-01,25,2,2015,NA,3.45
BOB-01,25,2,2015,NA,3.5
BOB-01,10,3,2015,TRUE,3.99
BOB-01,10,3,2015,NA,3.99
BOB-01,10,3,2015,NA,4.04
BOB-01,10,3,2015,NA,5.18
BOB-01,10,3,2015,NA,3.83
BOB-01,10,3,2015,NA,4.03
BOB-01,10,3,2015,NA,3.49
BOB-01,10,3,2015,NA,3.67
BOB-01,10,3,2015,NA,3.52
BOB-01,10,3,2015,NA,3.72
BOB-01,10,3,2015,NA,3.62
BOB-01,10,3,2015,NA,3.53
BOB-01,10,3,2015,NA,4.03
BOB-01,10,3,2015,NA,3.8
BOB-01,10,3,2015,NA,4.01
BOB-01,10,3,2015,NA,4.46
BOB-01,10,3,2015,NA,3.15
BOB-01,10,3,2015,NA,3.32
BOB-01,10,3,2015,NA,3.58
BOB-01,10,3,2015,NA,3.16
BOB-01,10,3,2015,NA,3.35
BOB-01,10,3,2015,NA,3.58
BOB-01,10,3,2015,NA,4.35
BOB-01,10,3,2015,NA,3.29
BOB-01,10,3,2015,NA,3.86
BOB-01,10,3,2015,NA,3.31
BOB-01,13,4,2015,TRUE,3.85
BOB-01,13,4,2015,NA,3.42
BOB-01,13,4,2015,NA,3.31
BOB-01,13,4,2015,NA,4.33
BOB-01,13,4,2015,NA,3.74
BOB-01,13,4,2015,NA,3.78
BOB-01,13,4,2015,NA,4.12
BOB-01,13,4,2015,NA,3.45
BOB-01,13,4,2015,NA,3.37
